Genes,Specific.Cell
Csf3,Inflammatory CAF
Mmp3,Inflammatory CAF
Lif,Inflammatory CAF
Cxcl12,Inflammatory CAF
Acta2,Myofibroblast
Tnn,Myofibroblast
Ogn,Myofibroblast
Col1a1,Myofibroblast
Gli1,Crypt bottom fibroblast
Cd81,Crypt bottom fibroblast
Grem1,Crypt bottom fibroblast
Rspo1,Crypt bottom fibroblast
Tgfb2,TGF-Beta signaling
Tgfb3,TGF-Beta signaling
Tgfbr2,TGF-Beta signaling
Tgfbr3,TGF-Beta signaling
