Genes,Specific.Cell
Cd3d,T-cell activation
Cd8a,T-cell activation
Xrcc1,T-cell activation
Cd80,T-cell activation
Cd28,T-cell activation
Cxcl1,Immune recruitment
Cxcl2,Immune recruitment
Cxcr2,Immune recruitment
Cxcr3,Immune recruitment
Socs3,T-cell exhaustion
Lag3,T-cell exhaustion
Timp3,T-cell exhaustion
Tigit,T-cell exhaustion
Cd74,Immune suppression
Cd163,Immune suppression
Foxp3,Immune suppression
Cd274,Immune suppression
Vegfa,Immune suppression
