"","unique_genes","Entrez","Ensembl","Symbols"
"24362",1.50593442920742,"24362","ENSRNOG00000017597","Fbp1"
"29316",1.50575237844709,"29316","ENSRNOG00000002922","Adora2b"
"29209",1.479365569625,"29209","ENSRNOG00000016243","Casq2"
"681070",1.47035636805305,"681070","ENSRNOG00000004393","Fcamr"
"266733",1.46836858501759,"266733","ENSRNOG00000001792","Slc12a8"
"362204",1.46666647816709,"362204","ENSRNOG00000016357","Golm2"
"245918",1.46349329119029,"245918","ENSRNOG00000007923","Cgref1"
"25313",1.45931769798226,"25313","ENSRNOG00000053979","Egf"
"114492",1.4591142091351,"114492","ENSRNOG00000059640","Ccl28"
"311334",1.45283758298892,"311334","ENSRNOG00000025360","Exd1"
"25667",1.44745079206336,"25667","ENSRNOG00000002381","Bmp3"
"314997",1.4460460436873,"314997","ENSRNOG00000025300","Fer1l6"
"100362555",1.4442039262184,"100362555","ENSRNOG00000009388","Sptssb"
"314198",1.43912623008202,"314198","ENSRNOG00000038720","Cdkl1"
"303638",1.43692664063587,"303638","ENSRNOG00000004147","Abca8a"
"362580",1.43177888108694,"362580","ENSRNOG00000008560","Ccdc30"
"679651",1.42376760602451,"679651","ENSRNOG00000047635","Tmem178b"
"120101370",1.42281970430308,"120101370","ENSRNOG00000061186","Snord123"
"294673",1.42026749424569,"294673","ENSRNOG00000025274","Hexb"
"26760",1.41712304200038,"26760","ENSRNOG00000017899","Akr7a3"
"246262",1.41635065549944,"246262","ENSRNOG00000007202","Sema3d"
"24212",1.41579868361732,"24212","ENSRNOG00000007290","Atp1a2"
"25229",1.40658630942122,"25229","ENSRNOG00000018385","Chrm1"
"679990",1.40406966220558,"679990","ENSRNOG00000015406","Pgm5"
"362287",1.39788720893768,"362287","ENSRNOG00000010275","Slc17a9"
"25419",1.39632293479723,"25419","ENSRNOG00000000053","Crp"
"363112",1.39449611369284,"363112","ENSRNOG00000010545","Mrap2"
"65202",1.38838056669635,"65202","ENSRNOG00000010337","Slc13a2"
"29359",1.38412725124061,"29359","ENSRNOG00000003164","Pla2g10"
"502334",1.38375973233292,"502334","ENSRNOG00000022701","Ceacam18"
"689991",1.38097252486986,"689991","ENSRNOG00000028362","Unc80"
"114513",1.37471445820823,"114513","ENSRNOG00000056151","Rasgrf2"
"103693925",1.37384701188409,"103693925","ENSRNOG00000067022","Apela"
"297960",1.37060252369048,"297960","ENSRNOG00000007331","Rragd"
"290344",1.36964225158998,"290344","ENSRNOG00000014518","Adam28"
"685645",1.36208711147556,"685645","ENSRNOG00000029744","Ces2j"
