"","Row.names","baseMean","pvalue","padj","T1-2442","T31","T32","T33","T34","T1-5100","T2-5101","T3-5230","T4-5329","T5-5330","Significance"
"Hoxd4","ENSRNOG00000001578 - Hoxd4",82.4845448425034,0.0181090260313462,0.0402214993682303,331.514639002212,38.2675648743496,11.3965341839704,335.000157398255,42.1351819383977,22.9682179531042,0,40.2051704381963,3.35798263654916,0,"p < 0.05"
"Cd19","ENSRNOG00000018311 - Cd19",19.3809796539255,7.05955339966566e-05,0.00049860405948424,7.96214198476928,60.3450061480129,35.6141693249074,30.8865393345909,43.1628693027488,8.98756354686685,0,0,4.47731018206555,2.37419671529312,"p < 0.001"
"Gli1","ENSRNOG00000025120 - Gli1",92.2582086518307,1.38930678281054e-15,6.06350686768401e-13,66.5924602362522,213.415265645411,193.741081127496,142.553258467343,234.312719072065,13.9806544062373,7.03870592725387,9.02565050653387,13.4319305461966,28.4903605835175,"p < 0.001"
"Carmn","ENSRNOG00000070011 - Carmn",65.7650121751895,9.87818732898802e-10,6.82017183067025e-08,62.9733047886298,97.1407416041183,98.2951073367445,197.198674213157,151.070042559621,3.99447268749638,1.40774118545077,6.56410945929736,22.3865509103277,16.6193770070519,"p < 0.001"
"Wdr97","ENSRNOG00000033520 - Wdr97",21.1149337508338,1.61364179376806e-10,1.45003527164544e-08,27.5055814019302,20.605611855419,51.2844038278667,42.7659775402028,52.4120555819093,1.99723634374819,3.51935296362693,1.64102736482434,7.83529281861471,1.58279781019542,"p < 0.001"
"Dux4","ENSRNOG00000025408 - Dux4",25.8270225191273,2.33243412820435e-09,1.35199179798533e-07,19.543439417161,60.3450061480129,45.5861367358815,52.2695281046923,60.6335544967186,4.99309085937047,0.703870592725387,0.82051368241217,7.83529281861471,5.53979233568395,"p < 0.001"
"Sstr3","ENSRNOG00000007332 - Sstr3",35.4686499677491,1.01545650543866e-08,4.38033694308263e-07,33.2962301181261,92.7252533493856,49.8598370548704,95.035505644895,56.5228050393139,4.99309085937047,0,3.28205472964868,13.4319305461966,5.53979233568395,"p < 0.001"
"Rps15al2","ENSRNOG00000032877 - Rps15al2",47.7531875459517,5.75322510651189e-09,2.75393894695258e-07,9.40980416381824,92.7252533493856,123.937309250678,102.163168568262,114.073297442979,7.98894537499276,11.2619294836062,2.46154104723651,5.59663772758194,7.91398905097708,"p < 0.001"
"Rgs11","ENSRNOG00000066310 - Rgs11",49.055141120294,3.20795599600225e-06,4.59644697459265e-05,46.3251897295667,92.7252533493856,78.3511725147964,174.627741622495,64.7443039541232,0,0,6.56410945929736,14.551258091713,12.6623824815633,"p < 0.001"
"Neb","ENSRNOG00000006783 - Neb",43.6503522315463,2.99848259846673e-10,2.43139252888786e-08,11.5812974323917,91.2534239311414,116.814475385696,90.2837303626503,98.6579869777116,4.99309085937047,2.11161177817616,4.92308209447302,5.59663772758194,10.2881857662702,"p < 0.001"
"Lcat","ENSRNOG00000019573 - Lcat",23.4547138657608,3.23270852957282e-13,7.26820634398955e-11,23.1625948647834,55.9295178932802,35.6141693249074,47.5177528224475,58.5781797680163,4.99309085937047,1.40774118545077,0.82051368241217,3.35798263654916,3.16559562039083,"p < 0.001"
"Ms4a14","ENSRNOG00000025805 - Ms4a14",12.2140844220936,1.15450816187779e-07,3.1205367238806e-06,12.3051285219162,35.3239060378612,19.9439348219482,11.8794382056119,35.9690577522907,2.99585451562228,2.11161177817616,0.82051368241217,0,0.791398905097708,"p < 0.001"
"Gabre","ENSRNOG00000061182 - Gabre",11.5070879867343,1.33944862924718e-05,0.000137076401444131,7.2383108952448,14.7182941824422,38.4633028709,16.6312134878566,31.858308294886,2.99585451562228,0,0,0,3.16559562039083,"p < 0.001"
"Tnnt3","ENSRNOG00000020332 - Tnnt3",43.7175274790084,2.15314007808829e-15,9.12869874821488e-13,27.5055814019302,111.85903578656,92.5968402447593,103.351112388823,80.1596144193907,2.99585451562228,5.6309647418031,0.82051368241217,6.71596527309832,5.53979233568395,"p < 0.001"
"Hoxd3","ENSRNOG00000001577 - Hoxd3",47.0534562760075,0.00531259421478119,0.0146667135912815,183.853096739218,22.0774412736632,5.69826709198519,211.454000059891,25.6921841087791,6.99032720311866,0,14.7692462834191,0,0,"p < 0.05"
"Reg3b","ENSRNOG00000006151 - Reg3b",12703.6663498419,8.34998518545333e-05,0.000563718972552056,13544.3273471821,20936.773474524,56401.4476764694,11496.9202953912,18914.5859408831,4314.03050249609,53.4941650471294,671.180192213155,595.482254214718,108.421649998386,"p < 0.001"
"Ugt2b7","ENSRNOG00000070682 - Ugt2b7",59.9094128618757,9.25903193977398e-12,1.20521732416058e-09,76.0022644000704,91.2534239311414,262.120286231319,53.4574719252535,99.6856743420628,0,5.6309647418031,0,2.23865509103277,8.70538795607479,"p < 0.001"
"Or13a27b","ENSRNOG00000063968 - Or13a27b",10.8758690221907,2.23288551532889e-07,5.37684343807292e-06,7.2383108952448,26.4929295283959,17.0948012759556,28.5106516934685,26.7198714731302,0,0,0,1.11932754551639,1.58279781019542,"p < 0.001"
