"","unique_genes","Entrez","Ensembl","Symbols"
"25139",1.13679031299709,"25139","ENSRNOG00000017226","Slc2a4"
"25708",1.13403355692985,"25708","ENSRNOG00000017716","Ucp3"
"114513",1.13381458996997,"114513","ENSRNOG00000056151","Rasgrf2"
"291164",1.13236985689339,"291164","ENSRNOG00000051823","Zkscan4"
"171148",1.12744213147503,"171148","ENSRNOG00000031662","Slc6a5"
"29627",1.12390230639997,"29627","ENSRNOG00000054204","Gria2"
"64362",1.12174500414856,"64362","ENSRNOG00000019810","Des"
"680865",1.12045212203488,"680865","ENSRNOG00000058904","Tex13b"
"65195",1.12037787823,"65195","ENSRNOG00000014686","Kcnd3"
"292918",1.11670432481422,"292918","ENSRNOG00000010983","Otog"
"432360",1.11411014763111,"432360","ENSRNOG00000046905","Sgce"
"500065",1.11320325663085,"500065","ENSRNOG00000007900","Tspan33"
"298496",1.11178802100273,"298496","ENSRNOG00000060435","Kcnq4"
"25302",1.10751897518514,"25302","ENSRNOG00000010853","Chrna7"
"366466",1.10248414288709,"366466","ENSRNOG00000025349","Maneal"
"315473",1.10225483638767,"315473","ENSRNOG00000026979","Matcap2"
"311252",1.09625583569907,"311252","ENSRNOG00000005348","Pamr1"
"298975",1.09557226669298,"298975","ENSRNOG00000004498","Scin"
"246252",1.09051486680974,"246252","ENSRNOG00000011330","Ces2a"
"294395",1.0892377356154,"294395","ENSRNOG00000027949","Rfx6"
"84400",1.08820483691734,"84400","ENSRNOG00000003120","Prelp"
"114492",1.07691400818206,"114492","ENSRNOG00000059640","Ccl28"
"366189",1.07606463955596,"366189","ENSRNOG00000006753","Tgm3"
"361993",1.07532878835608,"361993","ENSRNOG00000043445","Them5"
"288593",1.07246573664104,"288593","ENSRNOG00000031162","Ccl24"
"293537",1.07127951243355,"293537","ENSRNOG00000020637","Hmx3"
"309962",1.07003174647405,"309962","ENSRNOG00000010280","Pde8b"
"300520",1.06829589780814,"300520","ENSRNOG00000033490","Vsig2"
"29359",1.06556177599098,"29359","ENSRNOG00000003164","Pla2g10"
"365391",1.06493568206061,"365391","ENSRNOG00000020484","Trpm5"
"246271",1.06486705825636,"246271","ENSRNOG00000017856","Fev"
"29319",1.05854387238405,"29319","ENSRNOG00000021001","Cblif"
"365527",1.05720004164141,"365527","ENSRNOG00000040052","RT1-M6-2"
"114097",1.05591657797471,"114097","ENSRNOG00000003244","Ltc4s"
"140635",1.05553808953243,"140635","ENSRNOG00000054764","Flt3"
"315611",1.05472965534627,"315611","ENSRNOG00000026679","Scn4b"
"408229",1.05436651927594,"408229","ENSRNOG00000029508","Slpil2"
"103692131",1.05386457947167,"103692131","ENSRNOG00000059870","Hoxa11"
"315712",1.05080344003062,"315712","ENSRNOG00000008219","Ccdc33"
"680726",1.04970466024357,"680726","ENSRNOG00000025881","Rbms3"
"29564",1.04239787480096,"29564","ENSRNOG00000009700","Dync1i1"
"301086",1.0405358766885,"301086","ENSRNOG00000006620","Xcr1"
"361319",1.03995611414174,"361319","ENSRNOG00000013116","Spink5"
"83521",1.03986748352746,"83521","ENSRNOG00000011901","Rrad"
"29504",1.03947699767986,"29504","ENSRNOG00000022946","Slc22a3"
"79253",1.03867776747333,"79253","ENSRNOG00000050419","Avil"
"24929",1.0376882918542,"24929","ENSRNOG00000010325","Ptger3"
"25365",1.03554250536904,"25365","ENSRNOG00000029401","Actg2"
"498284",1.03360507765899,"498284","ENSRNOG00000004678","Itln1"
"313058",1.03232772873301,"313058","ENSRNOG00000014375","Adgrb2"
"24582",1.03129517429539,"24582","ENSRNOG00000057880","Myh11"
"24765",1.02857533937801,"24765","ENSRNOG00000015055","Scg2"
"84494",1.02446236139966,"84494","ENSRNOG00000011133","Trpc4"
"291245",1.02178565112194,"291245","ENSRNOG00000017833","Actn2"
"64155",1.02018031199245,"64155","ENSRNOG00000029342","Scn7a"
"499146",1.02011544312979,"499146","ENSRNOG00000019660","Spib"
"81737",1.01248385166755,"81737","ENSRNOG00000019716","Ntf3"
"432363",1.01094044020874,"432363","ENSRNOG00000022711","Slco4c1"
"309410",1.01011450951266,"309410","ENSRNOG00000024620","Mamdc2"
"287222",1.00908065955527,"287222","ENSRNOG00000021345","Timd2"
"84347",1.00840236206536,"84347","ENSRNOG00000065511","Cacng2"
"305589",1.0080999762839,"305589","ENSRNOG00000007049","Bcl11a"
"25468",1.00711774361237,"25468","ENSRNOG00000018285","Kcna2"
"680102",1.00692192269166,"680102","ENSRNOG00000031398","Mab21l2"
"60329",1.00220944804841,"60329","ENSRNOG00000024413","Neurog3"
"25290",1.00044154291491,"25290","ENSRNOG00000012972","Alox5"
"305453",0.99678313907739,"305453","ENSRNOG00000058434","Cfap99"
"58977",0.990702032255962,"58977","ENSRNOG00000036827","Ppp1r1a"
"64507",0.99049138638248,"64507","ENSRNOG00000003183","Fmod"
"362604",0.989851989550376,"362604","ENSRNOG00000042455","Tlr12"
"29349",0.986027015253649,"29349","ENSRNOG00000017524","Fgf8"
"362287",0.984695386998309,"362287","ENSRNOG00000010275","Slc17a9"
"60349",0.98439035312038,"60349","ENSRNOG00000000653","Nr5a2"
"360887",0.982576102256443,"360887","ENSRNOG00000043201","Coq8a"
"116544",0.981296111027659,"116544","ENSRNOG00000009118","Pou2f3"
"171291",0.980272726202609,"171291","ENSRNOG00000011453","Kif6"
"500685",0.978829671441294,"500685","ENSRNOG00000038297","Plekhd1"
"361267",0.974325983025008,"361267","ENSRNOG00000021735","Akr1c15"
"338457",0.973521035517489,"338457","ENSRNOG00000048161","Tlr9"
"309544",0.970786877835765,"309544","ENSRNOG00000014705","Rbm20"
"687808",0.966533326501287,"687808","ENSRNOG00000049063","Slc16a9"
"297960",0.966177455762137,"297960","ENSRNOG00000007331","Rragd"
"502334",0.956278697613503,"502334","ENSRNOG00000022701","Ceacam18"
"120095908",0.951343574328565,"120095908","ENSRNOG00000068186","Muc3l1"
"407764",0.95117337868647,"407764","ENSRNOG00000048870","St6galnac4"
"25719",0.948171168070614,"25719","ENSRNOG00000007542","Scg5"
"25081",0.943390694175878,"25081","ENSRNOG00000045679","Apoa1"
"688996",0.94144202829729,"688996","ENSRNOG00000006422","Kcnk16"
"685180",0.940696542615475,"685180","ENSRNOG00000070368","Stx19"
"25293",0.93924855267218,"25293","ENSRNOG00000016043","Aqp4"
"299737",0.939248540182822,"299737","ENSRNOG00000005573","Ntn4"
"679651",0.934119509941893,"679651","ENSRNOG00000047635","Tmem178b"
"312607",0.931594559736222,"312607","ENSRNOG00000057556","Pdzrn3"
"500450",0.929252937117084,"500450","ENSRNOG00000016731","Tpm2"
"498166",0.926336369984986,"498166","ENSRNOG00000001375","Gal3st4"
"29629",0.921443003431082,"29629","ENSRNOG00000006957","Gria4"
"293566",0.92121559425664,"293566","ENSRNOG00000015902","Cpxm2"
"100911796",0.920638798779667,"100911796","ENSRNOG00000015788","Adora3"
"304353",0.920395177568376,"304353","ENSRNOG00000069743","Nxpe5l1"
"305355",0.918795894041417,"305355","ENSRNOG00000067138","Tlr10"
"298611",0.916010944340139,"298611","ENSRNOG00000070725","Tuba1a-ps1"
"64348",0.914616405119756,"64348","ENSRNOG00000049770","Cryba4"
"291770",0.913633400050679,"291770","ENSRNOG00000015867","Chst9"
"316384",0.913323554661379,"316384","ENSRNOG00000025895","Cavin2"
"304965",0.912700590648974,"304965","ENSRNOG00000003136","Fcrla"
"296313",0.911179148780035,"296313","ENSRNOG00000020246","Myl9"
"288529",0.906396618999271,"288529","ENSRNOG00000001329","Gjc3"
"24784",0.904978246683946,"24784","ENSRNOG00000015159","Slc9a3"
"29348",0.902580666124242,"29348","ENSRNOG00000009425","Fgf7"
"300664",0.901507119738524,"300664","ENSRNOG00000008862","Abcg4"
"29458",0.897107137923487,"29458","ENSRNOG00000005609","Neurod1"
"81642",0.896561588480835,"81642","ENSRNOG00000028781","Abcc6"
"366214",0.894311901166248,"366214","ENSRNOG00000012728","Nkx2-2"
"100912012",0.893766461666571,"100912012","ENSRNOG00000004540","Clec3b"
"25566",0.891902674316624,"25566","ENSRNOG00000009761","Tmod1"
"25598",0.890190730732345,"25598","ENSRNOG00000024947","Fabp2"
"24875",0.887461037130405,"24875","ENSRNOG00000047457","Vipr1"
"29169",0.884549587761221,"29169","ENSRNOG00000010031","Vtn"
"360906",0.883565507205321,"360906","ENSRNOG00000023533","Dipk1a"
"25314",0.882128347706,"25314","ENSRNOG00000008676","Emp1"
"266680",0.881018130507436,"266680","ENSRNOG00000006200","St18"
"120095278",0.88096924079687,"120095278","ENSRNOG00000045669","Ankrd40cl"
"684327",0.879706576176649,"684327","ENSRNOG00000049614","Itih5"
"287730",0.878694018842474,"287730","ENSRNOG00000020877","Pyy"
"50645",0.877097709356238,"50645","ENSRNOG00000052499","Rab27a"
"83627",0.876096540337863,"83627","ENSRNOG00000004645","Galnt5"
"65206",0.872773041652944,"65206","ENSRNOG00000019440","Kcnn4"
"299830",0.871825161279546,"299830","ENSRNOG00000007654","Lrig3"
"117549",0.868367247326719,"117549","ENSRNOG00000002524","Gpr37"
"681433",0.868358642815842,"681433","ENSRNOG00000064721","Rgmb"
"500527",0.868293985725173,"500527","ENSRNOG00000062943","Lurap1"
"100912563",0.86320815979669,"100912563","ENSRNOG00000068937","Insm1"
"309415",0.862990799433163,"309415","ENSRNOG00000061147","Entrep1"
"298104",0.858748263430343,"298104","ENSRNOG00000008712","Tmem268"
"120101370",0.858528992128808,"120101370","ENSRNOG00000061186","Snord123"
"500997",0.857281434875399,"500997","ENSRNOG00000012022","Pou2af2"
"303812",0.856497186810478,"303812","ENSRNOG00000001707","Vwa5b2"
"25667",0.856145813061294,"25667","ENSRNOG00000002381","Bmp3"
"365352",0.855341642740336,"365352","ENSRNOG00000016210","Mical2"
"502901",0.853811675080511,"502901","ENSRNOG00000051690","Clec9a"
"29290",0.852754956842485,"29290","ENSRNOG00000003442","Adora1"
"293046",0.852532799091348,"293046","ENSRNOG00000014925","Mesp2"
"29242",0.85188940462305,"29242","ENSRNOG00000002916","Car4"
"100910231",0.850801185750095,"100910231","ENSRNOG00000052023","Zfp82"
"24153",0.84821245284055,"24153","ENSRNOG00000028896","A2m"
"24172",0.847592709476016,"24172","ENSRNOG00000012436","Adh1c"
"100912292",0.846457849312023,"100912292","ENSRNOG00000043300","Enho"
"297748",0.845815587178436,"297748","ENSRNOG00000006110","Jph1"
"313504",0.844902184531729,"313504","ENSRNOG00000007759","Foxd2"
"103690342",0.842285956578425,"103690342","ENSRNOG00000046734","Evx1"
"24212",0.840991940494589,"24212","ENSRNOG00000007290","Atp1a2"
"293347",0.840579087500721,"293347","ENSRNOG00000069498","Gvinp1"
"363259",0.840254756026374,"363259","ENSRNOG00000015346","Obsl1"
"25117",0.83732906412952,"25117","ENSRNOG00000017084","Hsd11b2"
"79225",0.835737797518061,"79225","ENSRNOG00000013850","Hes5"
"103690123",0.834002962460749,"103690123","ENSRNOG00000005968","Hoxa2"
"100362555",0.83013928015588,"100362555","ENSRNOG00000009388","Sptssb"
"304900",0.828751998337507,"304900","ENSRNOG00000005667","Astn1"
"500152",0.826986386979671,"500152","ENSRNOG00000024986","Mmrn1"
"294103",0.826825244188139,"294103","ENSRNOG00000011068","Papss2"
"289201",0.826778825679416,"289201","ENSRNOG00000004642","Lmx1a"
"25391",0.826507544003299,"25391","ENSRNOG00000017912","Atp2a3"
"66013",0.824532572682465,"66013","ENSRNOG00000007733","Arhgef9"
"500915",0.823482617351227,"500915","ENSRNOG00000049349","Tafa5"
"499088",0.823293448311174,"499088","ENSRNOG00000052256","Dact3"
"308836",0.822521282124467,"308836","ENSRNOG00000012494","Kctd14"
"502727",0.820481519221969,"502727","ENSRNOG00000005818","Elapor2"
"29389",0.820365102216018,"29389","ENSRNOG00000020276","Tnni2"
"310764",0.819842888654324,"310764","ENSRNOG00000015691","Inka2"
"246755",0.819791529304748,"246755","ENSRNOG00000012906","Bcas1"
"29225",0.818014897030771,"29225","ENSRNOG00000015438","Ces1e"
"24311",0.817210688502777,"24311","ENSRNOG00000004327","Ddc"
"300025",0.815056862797258,"300025","ENSRNOG00000007334","Ly6h"
"500686",0.814306909742999,"500686","ENSRNOG00000033973","Ccdc177"
"116635",0.813541583369518,"116635","ENSRNOG00000010784","Scg3"
"79242",0.812368500606908,"79242","ENSRNOG00000010610","Hpgd"
"50676",0.811255908110955,"50676","ENSRNOG00000013547","Slc6a12"
"24448",0.811081741842121,"24448","ENSRNOG00000007420","Hrh1"
"25556",0.809449022011317,"25556","ENSRNOG00000014835","Il1rl1"
"308843",0.809260819417716,"308843","ENSRNOG00000027784","Tsku"
"89787",0.809228605630573,"89787","ENSRNOG00000011451","Lrp3"
"313125",0.808525290500561,"313125","ENSRNOG00000006170","Bach2"
"83568",0.807824070617543,"83568","ENSRNOG00000021000","Naaladl1"
"64160",0.806949671691033,"64160","ENSRNOG00000066065","Basp1"
"366251",0.80586255104881,"366251","ENSRNOG00000025384","Slc2a10"
"25420",0.805582350825881,"25420","ENSRNOG00000010524","Cryab"
"314473",0.805192469789204,"314473","ENSRNOG00000013661","Kif26a"
"29197",0.804553981175599,"29197","ENSRNOG00000009848","Il18"
"192226",0.803687243949199,"192226","ENSRNOG00000010473","Cand2"
"81734",0.802398127638424,"81734","ENSRNOG00000006235","Nell2"
"29582",0.802276907289408,"29582","ENSRNOG00000017434","Mgat3"
"246297",0.800837677614929,"246297","ENSRNOG00000003669","Myocd"
"305096",0.800731769995846,"305096","ENSRNOG00000000036","Klhdc8a"
"288743",0.800228510674608,"288743","ENSRNOG00000000708","Sgsm1"
"291991",0.79804894822963,"291991","ENSRNOG00000020406","Tmed6"
"24807",0.795672612822392,"24807","ENSRNOG00000005853","Tacr1"
"24679",0.795287127507757,"24679","ENSRNOG00000009079","Prkar2b"
"685732",0.79477441078922,"685732","ENSRNOG00000048917","Hoxa6"
"24831",0.791940607666029,"24831","ENSRNOG00000006649","Thrb"
"114862",0.790131659024603,"114862","ENSRNOG00000033893","Cacna1h"
"246245",0.789293043041099,"246245","ENSRNOG00000003510","Fmo2"
"25656",0.786476508932672,"25656","ENSRNOG00000008849","Guca2a"
"361303",0.786175945635032,"361303","ENSRNOG00000016021","Lims2"
"171114",0.78502493850719,"171114","ENSRNOG00000010389","Ndrg2"
"114102",0.784490097932271,"114102","ENSRNOG00000033087","Cdh23"
"306570",0.784286282899646,"306570","ENSRNOG00000018241","Ank1"
"85497",0.78425280316909,"85497","ENSRNOG00000017808","Klf15"
"58971",0.783900890659374,"58971","ENSRNOG00000021079","Fxyd1"
"360722",0.783231088137489,"360722","ENSRNOG00000032327","Pdia5"
"407765",0.779139228467404,"407765","ENSRNOG00000046984","St6galnac6"
"310207",0.777497360414004,"310207","ENSRNOG00000011977","Sema5a"
"117043",0.774966818985175,"117043","ENSRNOG00000062421","RragB"
"498658",0.774912612624116,"498658","ENSRNOG00000068468","Defa9"
"295214",0.77443833658693,"295214","ENSRNOG00000012410","S100a1"
"315673",0.772457156672458,"315673","ENSRNOG00000024230","Tnfaip8l3"
"679787",0.772355196069506,"679787","ENSRNOG00000026306","Clec5a"
"257648",0.772084486328837,"257648","ENSRNOG00000004560","Cacna1b"
"681398",0.772018002731052,"681398","ENSRNOG00000012369","Fam174b"
"316351",0.767160342435678,"316351","ENSRNOG00000013408","Npas2"
"103690130",0.765857519721359,"103690130","ENSRNOG00000006281","Hoxa3"
"308965",0.764379383743099,"308965","ENSRNOG00000019112","Chp2"
"65202",0.764126285358052,"65202","ENSRNOG00000010337","Slc13a2"
"308015",0.76279890937943,"308015","ENSRNOG00000060831","Clca1"
"25106",0.762680634948928,"25106","ENSRNOG00000007949","Rgn"
"293181",0.760022347340712,"293181","ENSRNOG00000017021","Galnt18"
"303586",0.759665301324895,"303586","ENSRNOG00000003807","Wnt9b"
"120098113",0.759504358545297,"120098113","ENSRNOG00000070011","Carmn"
"288358",0.758710537410966,"288358","ENSRNOG00000068894","Tssk1b"
"679110",0.758099612102158,"679110","ENSRNOG00000045543","Frat2"
