"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T16-2460","T17-2463","T18-2747","T19-3847","T20-3849","Significance"
"Ghrl",33.2360307761025,2.60405273846744,0.00398132386323371,12.0634695750981,2.00792188821386,5.37361605992539,0,17.2888742351467,32.7856763121436,5.6508368369183,39.1844513093002,97.932904383542,33.1151772890533,58.7078817980972,94.7215596257916,"p < 0.05"
"St6galnac1",1895.27523293776,2.23971930794791,0.0302232450065479,963.469103397838,734.899411086272,196.808688194768,1071.98960046032,958.746662130864,219.008317765119,1055.57632113634,1768.89808767698,240.751723276207,3658.8025368854,3932.57724160587,7941.77510163716,"p < 0.05"
"Nell1",54.293993486278,2.17772703878269,0.00807523547798153,32.1692522002617,8.03168755285543,29.5548883295897,30.8136193778306,22.0040217538231,13.1142705248574,18.0826778781386,141.343913651404,8.97718290182468,194.445528184441,36.5860712654809,116.404808214828,"p < 0.05"
"Pck1",654.544093581515,2.15584718760718,0.0368136867379722,258.962480212107,192.76050126853,639.460311131122,95.6843970153687,193.321048265732,359.331012381094,136.750251453423,336.566447853096,337.05241258669,568.901763683736,917.204298236939,3818.53419889035,"p < 0.05"
"Ptgis",27.1875980784399,2.05127584484113,0.0267244401261522,5.6296191350458,7.0277266087485,8.06042408988809,11.3523860865692,4.71514751867638,19.6714057872862,25.9938494498242,19.5922256546501,8.16107536529516,66.2303545781065,42.5419433319545,107.275019335234,"p < 0.05"
"Cd79a",101.144355393062,-2.01498795669292,0.0008163929711704,73.9892800606019,125.495118013366,28.883186322099,322.732118746752,130.45241468338,149.502683983375,201.169791394292,47.5811194470074,21.2187959497674,37.3607128389319,43.3927821985936,31.9542610785803,"p < 0.001"
"Upk3a",16.872409448282,-2.02391814803244,0.00773118708172207,16.0846261001308,17.0673360498178,8.06042408988809,19.4612332912614,42.4363276680874,18.3599787348004,50.8575315322648,8.39666813770719,3.26443014611807,4.24553554987862,5.10503319983454,9.12978887959438,"p < 0.05"
"Rn18s",6234.91157431989,-2.04867495877689,0.0327224250206101,3316.64990184698,3241.78988852127,2821.82013346832,5299.94253298687,30469.2832656868,7559.06553052783,11094.8530456054,1389.64857679054,997.283409639069,2976.96952757489,1814.83930254118,3836.79377664954,"p < 0.05"
"Il17a",49.5648581295562,-2.05348832273866,0.00653065433045416,95.7035252957785,148.586219727825,100.08359911611,72.9796248422304,14.1454425560291,56.391363256887,19.2128452455222,10.495835172134,13.8738281210018,13.5857137596116,34.8843935322027,14.8359069293409,"p < 0.05"
"Lrrc2",18.1023807080973,-2.05956677501855,0.00592441836493108,23.3227078451897,29.1148673791009,10.7472321198508,27.5700804959537,25.1474534329407,24.9171139972291,45.2066946953464,15.3938915857965,2.44832260958855,1.69821421995145,5.95587206647363,5.70611804974648,"p < 0.05"
