"","unique_genes","Entrez","Ensembl","Symbols"
"309217",1.74390190130092,"309217","ENSRNOG00000020945","Ms4a1"
"366189",1.73903404764357,"366189","ENSRNOG00000006753","Tgm3"
"290551",1.73027323277428,"290551","ENSRNOG00000015859","Chdh"
"679990",1.72989100196986,"679990","ENSRNOG00000015406","Pgm5"
"25136",1.7293250313812,"25136","ENSRNOG00000014010","Gfra2"
"65204",1.72058014111832,"65204","ENSRNOG00000027736","Cnn1"
"64348",1.7185877744997,"64348","ENSRNOG00000049770","Cryba4"
"314981",1.70203025169632,"314981","ENSRNOG00000026415","Col14a1"
"365367",1.69845362494414,"365367","ENSRNOG00000018311","Cd19"
"298006",1.69691955878884,"298006","ENSRNOG00000034290","Ccl21"
"681070",1.68950393060016,"681070","ENSRNOG00000004393","Fcamr"
"191574",1.68243257750149,"191574","ENSRNOG00000017672","Akr1c14"
"691703",1.68122254266585,"691703","ENSRNOG00000034236","C2cd4a"
"171291",1.67846843818271,"171291","ENSRNOG00000011453","Kif6"
"29209",1.66944985983879,"29209","ENSRNOG00000016243","Casq2"
"25229",1.66786342970733,"25229","ENSRNOG00000018385","Chrm1"
"246252",1.65527017440947,"246252","ENSRNOG00000011330","Ces2a"
"307838",1.65363822521081,"307838","ENSRNOG00000016953","Chst4"
"103692131",1.6516709773775,"103692131","ENSRNOG00000059870","Hoxa11"
"366733",1.64890359550964,"366733","ENSRNOG00000068695","Diras3"
"245918",1.64352091416212,"245918","ENSRNOG00000007923","Cgref1"
"24677",1.64224562950317,"24677","ENSRNOG00000020874","Ppy"
"29290",1.63388685785743,"29290","ENSRNOG00000003442","Adora1"
"25033",1.63076422424522,"25033","ENSRNOG00000048145","Sstr1"
"500152",1.62316408540518,"500152","ENSRNOG00000024986","Mmrn1"
"24784",1.6193274662505,"24784","ENSRNOG00000015159","Slc9a3"
"83783",1.61755164789241,"83783","ENSRNOG00000019342","Sult1a1"
"102553587",1.61733428129093,"102553587","ENSRNOG00000066798","Peg10"
"306805",1.61265130885407,"306805","ENSRNOG00000015410","Aspn"
"294673",1.59903386128461,"294673","ENSRNOG00000025274","Hexb"
"290315",1.59894038638917,"290315","ENSRNOG00000011342","Tdh"
"313436",1.58816548193443,"313436","ENSRNOG00000013162","Zcchc12"
"407764",1.58736694342372,"407764","ENSRNOG00000048870","St6galnac4"
"29564",1.57575056562919,"29564","ENSRNOG00000009700","Dync1i1"
"290567",1.56508207149533,"290567","ENSRNOG00000025012","Chat"
"25438",1.55475501078498,"25438","ENSRNOG00000004078","Eno3"
"24362",1.5530010621672,"24362","ENSRNOG00000017597","Fbp1"
"29191",1.54998848602941,"29191","ENSRNOG00000004229","Tac3"
"103690342",1.54846031108294,"103690342","ENSRNOG00000046734","Evx1"
"363496",1.54701894694763,"363496","ENSRNOG00000037707","Armcx6"
"24303",1.53943348540956,"24303","ENSRNOG00000029179","Cyp2d3"
"29359",1.53669852881481,"29359","ENSRNOG00000003164","Pla2g10"
"361267",1.53554597032166,"361267","ENSRNOG00000021735","Akr1c15"
"64362",1.53398922324569,"64362","ENSRNOG00000019810","Des"
"362287",1.53121716557482,"362287","ENSRNOG00000010275","Slc17a9"
"293566",1.52965940707505,"293566","ENSRNOG00000015902","Cpxm2"
"304353",1.5181333051099,"304353","ENSRNOG00000069743","Nxpe5l1"
"687808",1.51642847742432,"687808","ENSRNOG00000049063","Slc16a9"
"25667",1.50761893672147,"25667","ENSRNOG00000002381","Bmp3"
"29714",1.50233865819541,"29714","ENSRNOG00000005003","Ptprn2"
"304741",1.49849461152339,"304741","ENSRNOG00000002414","Tfcp2l1"
"362598",1.49343291303272,"362598","ENSRNOG00000024566","Sh3d21"
"684327",1.49334173047796,"684327","ENSRNOG00000049614","Itih5"
"302990",1.48801696583314,"302990","ENSRNOG00000018701","Tpsg1"
"25656",1.48714078308423,"25656","ENSRNOG00000008849","Guca2a"
"293181",1.485140229997,"293181","ENSRNOG00000017021","Galnt18"
"500139",1.48337767502996,"500139","ENSRNOG00000012165","Itprid1"
"24952",1.47879195883287,"24952","ENSRNOG00000005498","Gcg"
"305096",1.47737327898578,"305096","ENSRNOG00000000036","Klhdc8a"
"301118",1.47455533043421,"301118","ENSRNOG00000047368","Acer1"
"25302",1.44843523142308,"25302","ENSRNOG00000010853","Chrna7"
"691161",1.44740102373383,"691161","ENSRNOG00000013605","Sh2d6"
