"","unique_genes","Entrez","Ensembl","Symbols"
"309114",0.97189853714736,"309114","ENSRNOG00000019846","Muc5b"
"59299",0.9697700656918,"59299","ENSRNOG00000012609","Trdn"
"80848",0.963938674093664,"80848","ENSRNOG00000029047","Cubn"
"307563",0.959924428720994,"307563","ENSRNOG00000017159","Dsc3"
"24889",0.958921753269385,"24889","ENSRNOG00000043124","Cckar"
"362424",0.955873126339261,"362424","ENSRNOG00000023340","Tmem72"
"25024",0.949211591587351,"25024","ENSRNOG00000015860","Gipr"
"100363236",0.93901712193734,"100363236","ENSRNOG00000065419","LOC100363236"
"291936",0.9362260500496,"291936","ENSRNOG00000018268","Hhip"
"303589",0.932853869213062,"303589","ENSRNOG00000042255","Efcab3"
"85257",0.927694040792505,"85257","ENSRNOG00000051950","Cnga3"
"500047",0.927287325772322,"500047","ENSRNOG00000005781","Wnt16"
"100303643",0.924553893172726,"100303643","ENSRNOG00000019129","Fcgbp"
"502832",0.923552351514698,"502832","ENSRNOG00000047571","RGD1563231"
"361266",0.918244342091339,"361266","ENSRNOG00000062679","Akr1c13"
"298975",0.912861714354528,"298975","ENSRNOG00000004498","Scin"
"171052",0.912656440354611,"171052","ENSRNOG00000008478","Mmp13"
"360922",0.909990685756367,"360922","ENSRNOG00000003666","Jchain"
"117549",0.907378403083518,"117549","ENSRNOG00000002524","Gpr37"
"619385",0.901233056061339,"619385","ENSRNOG00000019768","Ncoa4"
"680344",0.89352856040355,"680344","ENSRNOG00000023496","Entrep2"
"365546",0.889866911890352,"365546","ENSRNOG00000001219","Tspear"
"680931",0.886797212654622,"680931","ENSRNOG00000030155","Bmp8a"
"286921",0.885030651943,"286921","ENSRNOG00000027433","Akr1b8"
"311549",0.882399578408072,"311549","ENSRNOG00000009180","Xkr7"
"116484",0.882036148641416,"116484","ENSRNOG00000012081","Txn1"
"50559",0.877857564674139,"50559","ENSRNOG00000055221","Acot1"
"29629",0.872950398125126,"29629","ENSRNOG00000006957","Gria4"
"25316",0.870996665352916,"25316","ENSRNOG00000020993","Ms4a2"
"311287",0.87084896125627,"311287","ENSRNOG00000004731","Ano3"
"286924",0.868768801498239,"286924","ENSRNOG00000005268","Gnat3"
"303671",0.866053434639278,"303671","ENSRNOG00000021380","Fads6"
"309680",0.865212302655115,"309680","ENSRNOG00000001212","Dnmt3l"
"407756",0.864094524521282,"407756","ENSRNOG00000030246","Btla"
"29412",0.859328353611375,"29412","ENSRNOG00000009522","Adra1a"
"60586",0.850367979834714,"60586","ENSRNOG00000003533","Clcn4"
"500308",0.848608103155848,"500308","ENSRNOG00000011566","Cecr2"
"288105",0.847234714063206,"288105","ENSRNOG00000056716","Zbtb20"
"306081",0.843937111839878,"306081","ENSRNOG00000013306","Pcdh20"
"117027",0.842545449750713,"117027","ENSRNOG00000006736","Ccr3"
"315851",0.841358772510548,"315851","ENSRNOG00000009773","Elovl4"
"308445",0.840815962544954,"308445","ENSRNOG00000020743","Cyp2s1"
"192253",0.840072788879113,"192253","ENSRNOG00000016483","Myo16"
"501047",0.836391443454627,"501047","ENSRNOG00000010663","Col6a5"
"690499",0.836386887381556,"690499","ENSRNOG00000069088","LOC690499"
"679119",0.836095880462414,"679119","ENSRNOG00000033209","Bmp8b"
"293347",0.834949627739771,"293347","ENSRNOG00000069498","Gvinp1"
"316395",0.831534004972751,"316395","ENSRNOG00000013257","Hecw2"
"140939",0.828591884614777,"140939","ENSRNOG00000016543","Trim63"
"498667",0.820568081160874,"498667","ENSRNOG00000066120","Nalf1"
"312401",0.819056036078315,"312401","ENSRNOG00000006857","Ndnf"
"24646",0.815337264480384,"24646","ENSRNOG00000066042","Abcb1b"
"114005",0.809551975772054,"114005","ENSRNOG00000040242","Epm2a"
"29527",0.809289148386883,"29527","ENSRNOG00000002525","Ptgs2"
"100363914",0.807106706496289,"100363914","ENSRNOG00000069254","LOC100363914"
"108351806",0.80634813357107,"108351806","ENSRNOG00000053687","Znf660"
"305472",0.802931771449778,"305472","ENSRNOG00000018859","Pik3ip1"
"681008",0.801397662332983,"681008","ENSRNOG00000053303","Bend4"
"307199",0.797884006017982,"307199","ENSRNOG00000038197","Cd226"
"288280",0.796158157775165,"288280","ENSRNOG00000002126","Ncam2"
"313262",0.792217118188205,"313262","ENSRNOG00000033527","Pappa"
"29362",0.79022955312049,"29362","ENSRNOG00000019383","Tef"
"286895",0.789270548895814,"286895","ENSRNOG00000005592","Brinp2"
"288517",0.786755963561783,"288517","ENSRNOG00000051770","Cyp2w1"
"291645",0.786502269645178,"291645","ENSRNOG00000039472","Pcdhb16l"
"498440",0.783099210705933,"498440","ENSRNOG00000040122","Myoz1"
"58968",0.78300633965077,"58968","ENSRNOG00000028992","Acan"
"690255",0.776526878281815,"690255","ENSRNOG00000068865","LOC690255"
"81721",0.775926117741436,"81721","ENSRNOG00000012283","Chrna6"
"292098",0.774994006350057,"292098","ENSRNOG00000026791","Pgbd5"
"362382",0.772562944751225,"362382","ENSRNOG00000051739","LOC362382"
"688590",0.770744457215379,"688590","ENSRNOG00000008463","Rundc3b"
"296500",0.770057889732488,"296500","ENSRNOG00000001520","Dlx1"
"306805",0.765377304341831,"306805","ENSRNOG00000015410","Aspn"
"25549",0.764803366419671,"25549","ENSRNOG00000008890","Slc18a2"
"360593",0.760675656119306,"360593","ENSRNOG00000024730","Ppm1e"
"308717",0.758577656189466,"308717","ENSRNOG00000012311","Slc35d3"
