"","unique_genes","Entrez","Ensembl","Symbols"
"287222",0.925388835579892,"287222","ENSRNOG00000021345","Timd2"
"288937",0.923605073698789,"288937","ENSRNOG00000002396","Serpinb8"
"64677",0.91636300851626,"64677","ENSRNOG00000027042","Srd5a2"
"114243",0.915888008102452,"114243","ENSRNOG00000048706","Nox1"
"363112",0.912020734733337,"363112","ENSRNOG00000010545","Mrap2"
"294241",0.91160621641737,"294241","ENSRNOG00000070605","Ly6g6c"
"688333",0.908777963484742,"688333","ENSRNOG00000046946","Ptchd3"
"102554934",0.89894247857219,"102554934","ENSRNOG00000064789","LOC102554934"
"29183",0.894743321404164,"29183","ENSRNOG00000002754","Areg"
"78962",0.89413341996088,"78962","ENSRNOG00000018413","Per3"
"361481",0.886249544838299,"361481","ENSRNOG00000070586","Prr18"
"308016",0.885623692572719,"308016","ENSRNOG00000013771","Clca2"
"29275",0.885533712008157,"29275","ENSRNOG00000008536","Actc1"
"365881",0.884873012274987,"365881","ENSRNOG00000025108","Ankrd35"
"685989",0.884496083573541,"685989","ENSRNOG00000068016","LOC685989"
"302934",0.876963989618771,"302934","ENSRNOG00000002930","Ppl"
"64826",0.876084532585684,"64826","ENSRNOG00000062314","Foxq1"
"29362",0.8676344391519,"29362","ENSRNOG00000019383","Tef"
"298532",0.85251358870961,"298532","ENSRNOG00000011033","Tekt2"
"307563",0.852001241684257,"307563","ENSRNOG00000017159","Dsc3"
"117092",0.849502811354772,"117092","ENSRNOG00000002555","Serpinb7"
"314997",0.84362074533075,"314997","ENSRNOG00000025300","Fer1l6"
"364973",0.843557958601993,"364973","ENSRNOG00000003737","Best2"
"85382",0.839337880871867,"85382","ENSRNOG00000011719","Ngb"
"299411",0.834902145920982,"299411","ENSRNOG00000065406","LOC299411"
"266735",0.834442073894431,"266735","ENSRNOG00000032472","Adgrg2"
"316088",0.828462493962028,"316088","ENSRNOG00000019390","Klhl40"
"303395",0.828142238852963,"303395","ENSRNOG00000003143","Chct1"
"365546",0.820085528568418,"365546","ENSRNOG00000001219","Tspear"
"304458",0.816978789939633,"304458","ENSRNOG00000038406","Tmem132b"
"246755",0.805773688068926,"246755","ENSRNOG00000012906","Bcas1"
"25316",0.803932121200168,"25316","ENSRNOG00000020993","Ms4a2"
"25503",0.80247330579729,"25503","ENSRNOG00000001031","Ocm"
"100359972",0.800464996153521,"100359972","ENSRNOG00000055796","LOC100359972"
"171352",0.798322475512954,"171352","ENSRNOG00000046643","Cyp3a9"
"116547",0.795809448869711,"116547","ENSRNOG00000011557","S100a8"
"313993",0.795625859431193,"313993","ENSRNOG00000054989","Grhl1"
"24247",0.793584306314694,"24247","ENSRNOG00000002265","Casr"
"83633",0.792197014045682,"83633","ENSRNOG00000008431","Gabbr2"
"296566",0.792054070710652,"296566","ENSRNOG00000015184","Clic3"
"317204",0.791588949262144,"317204","ENSRNOG00000069840","Pcdh11x"
"690880",0.791440207475769,"690880","ENSRNOG00000023008","Fam131c"
"117024",0.791230047419992,"117024","ENSRNOG00000061215","Crym"
"303399",0.787946956729227,"303399","ENSRNOG00000003544","Tbx4"
"287678",0.779730713885689,"287678","ENSRNOG00000011907","Krt23"
"311169",0.773822133071307,"311169","ENSRNOG00000021513","Rtn4rl2"
"296500",0.773562299417339,"296500","ENSRNOG00000001520","Dlx1"
"65129",0.772201267677234,"65129","ENSRNOG00000001926","Cldn1"
"171151",0.770712373683332,"171151","ENSRNOG00000008931","Slc25a21"
"29348",0.76883608878788,"29348","ENSRNOG00000009425","Fgf7"
"171052",0.765002367456261,"171052","ENSRNOG00000008478","Mmp13"
"60582",0.761543298539638,"60582","ENSRNOG00000005871","Il1rn"
"83837",0.755805225586907,"83837","ENSRNOG00000016066","Bambi"
"290757",0.754418533863484,"290757","ENSRNOG00000013684","F11"
"299142",0.753421822067917,"299142","ENSRNOG00000056012","Syt16"
"306862",0.749994085749476,"306862","ENSRNOG00000015522","Tfap2a"
"140944",0.749661128935656,"140944","ENSRNOG00000018853","Slc28a3"
"679924",0.748215563191573,"679924","ENSRNOG00000071009","Kif19b"
"294312",0.74769123426818,"294312","ENSRNOG00000000525","Pi16"
"24646",0.732967873313258,"24646","ENSRNOG00000066042","Abcb1b"
"361245",0.732799137790229,"361245","ENSRNOG00000003094","Cmahp"
"25563",0.727773806110207,"25563","ENSRNOG00000001159","Tff3"
"25627",0.72588933932597,"25627","ENSRNOG00000020563","Cma1"
"498533",0.725172430435102,"498533","ENSRNOG00000011316","Fam167a"
"292844",0.724677541451602,"292844","ENSRNOG00000037339","Siglec10"
"25122",0.723758593604882,"25122","ENSRNOG00000019368","Scnn1a"
"682076",0.723064217785514,"682076","ENSRNOG00000046959","Mnx1"
"310550",0.721323004147652,"310550","ENSRNOG00000047473","Dchs2"
"24768",0.721052685119466,"24768","ENSRNOG00000017842","Scnn1g"
"362336",0.720880834063033,"362336","ENSRNOG00000011750","Fam180a"
"60335",0.720784510350446,"60335","ENSRNOG00000020136","Tgm1"
"641603",0.716600812982721,"641603","ENSRNOG00000045821","Slc41a3"
