"","unique_genes","Entrez","Ensembl","Symbols"
"306168",1.91442822414942,"306168","ENSRNOG00000063983","Sox21"
"252917",1.91083360664678,"252917","ENSRNOG00000009329","Nr1d1"
"362255",1.9005681935269,"362255","ENSRNOG00000034031","Vstm2l"
"680102",1.87413332923229,"680102","ENSRNOG00000031398","Mab21l2"
"103690342",1.87324998156173,"103690342","ENSRNOG00000046734","Evx1"
"29319",1.85493667323416,"29319","ENSRNOG00000021001","Cblif"
"100361383",1.84556094911953,"100361383","ENSRNOG00000031716","Ecm2"
"81737",1.84525966035875,"81737","ENSRNOG00000019716","Ntf3"
"29191",1.84146939082132,"29191","ENSRNOG00000004229","Tac3"
"303638",1.83319222275587,"303638","ENSRNOG00000004147","Abca8a"
"364973",1.82993622165593,"364973","ENSRNOG00000003737","Best2"
"688996",1.82560586544417,"688996","ENSRNOG00000006422","Kcnk16"
"24362",1.82432787518389,"24362","ENSRNOG00000017597","Fbp1"
"293347",1.82288467724198,"293347","ENSRNOG00000069498","Gvinp1"
"366909",1.8158372885614,"366909","ENSRNOG00000029465","Slc26a10"
"24443",1.8040975886724,"24443","ENSRNOG00000010262","Hdc"
"305974",1.80359947317872,"305974","ENSRNOG00000014398","Scara5"
"25033",1.80210804843492,"25033","ENSRNOG00000048145","Sstr1"
"246271",1.79777041397249,"246271","ENSRNOG00000017856","Fev"
"313058",1.79152815022978,"313058","ENSRNOG00000014375","Adgrb2"
"103692131",1.78711739065587,"103692131","ENSRNOG00000059870","Hoxa11"
"362598",1.77015196019873,"362598","ENSRNOG00000024566","Sh3d21"
"246245",1.76885386459649,"246245","ENSRNOG00000003510","Fmo2"
"361267",1.7636712814544,"361267","ENSRNOG00000021735","Akr1c15"
"685440",1.76180114101576,"685440","ENSRNOG00000048769","Nek5"
"298975",1.75906947674167,"298975","ENSRNOG00000004498","Scin"
"65270",1.7572357841716,"65270","ENSRNOG00000039906","Abo3"
"295620",1.75248903981048,"295620","ENSRNOG00000005341","Upp2"
"680865",1.73735811473615,"680865","ENSRNOG00000058904","Tex13b"
"25258",1.73663722619786,"25258","ENSRNOG00000036826","Glycam1"
"24303",1.73457863456506,"24303","ENSRNOG00000029179","Cyp2d3"
"117183",1.73398303542205,"117183","ENSRNOG00000042960","Rgcc"
"691161",1.73249315091719,"691161","ENSRNOG00000013605","Sh2d6"
"679651",1.73153776861637,"679651","ENSRNOG00000047635","Tmem178b"
"360707",1.72146416625622,"360707","ENSRNOG00000051418","Tmem45a2"
"246252",1.71521825967032,"246252","ENSRNOG00000011330","Ces2a"
"302421",1.71143321627901,"302421","ENSRNOG00000002800","Gdpd2"
"100360872",1.71003623792327,"100360872","ENSRNOG00000053494","Mcpt1l1"
"316573",1.70565828630248,"316573","ENSRNOG00000016640","Dner"
"305472",1.68980172673861,"305472","ENSRNOG00000018859","Pik3ip1"
"171148",1.68403406410317,"171148","ENSRNOG00000031662","Slc6a5"
"362287",1.68146818142199,"362287","ENSRNOG00000010275","Slc17a9"
"116745",1.67816502286279,"116745","ENSRNOG00000008078","Kcnh6"
"117549",1.67795168292397,"117549","ENSRNOG00000002524","Gpr37"
"25316",1.67765844587929,"25316","ENSRNOG00000020993","Ms4a2"
"140473",1.66847885631583,"140473","ENSRNOG00000019472","Ackr2"
"287730",1.6673153170819,"287730","ENSRNOG00000020877","Pyy"
"63887",1.66626518691439,"63887","ENSRNOG00000002164","Nmu"
"312745",1.6654451112931,"312745","ENSRNOG00000061757","Clec2h"
"294806",1.66363795109656,"294806","ENSRNOG00000018570","C1qtnf3"
"81734",1.66007480205655,"81734","ENSRNOG00000006235","Nell2"
"83535",1.65943754508365,"83535","ENSRNOG00000021128","Kcnj11"
"688893",1.65056148682755,"688893","ENSRNOG00000066054","Tex48"
"309533",1.6471429774511,"309533","ENSRNOG00000011313","Sorcs1"
"24258",1.64697291848662,"24258","ENSRNOG00000052549","Chga"
"24503",1.63961575220109,"24503","ENSRNOG00000020248","Ina"
"500514",1.63890759244774,"500514","ENSRNOG00000030938","Fyb2"
"316400",1.63660200898994,"316400","ENSRNOG00000013388","Pgap1"
"24929",1.63536480283559,"24929","ENSRNOG00000010325","Ptger3"
"366452",1.63478510133353,"366452","ENSRNOG00000057616","Ptch2"
