"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T11-2451","T12-2454","T13-3843","T14-3845","T15-3888","Significance"
"Aqp3",1538.39078797876,3.56653729376996,0.000529717015754115,446.441124882302,151.497588383708,43.1761444868529,571.232106236063,257.062315633724,94.6918917386032,387.373831467019,8386.83178526075,1974.17901358437,4447.44680945635,1561.24609347424,139.510751141134,"p < 0.001"
"Dpep1",187.176434122339,3.38350100208089,0.00961005595981696,33.7847337748769,10.0998392255805,58.6925714118157,17.851003319877,0,122.310360162363,22.6534404366678,985.231160814607,145.85416441084,610.433875807734,200.996109154221,38.2099509494825,"p < 0.05"
"Ccn3",1061.69018748912,3.0708777283596,0.0029835792990947,485.052249196448,180.787122137891,79.6060163976351,329.432152175912,148.244525580184,159.134984727375,437.211400427688,1124.35899210119,7050.7619007546,1777.04083846251,880.6803203731,87.9717475348551,"p < 0.05"
"Hoxa13",630.330153715538,2.88718287007713,0.0035405694504103,146.400513024467,79.7887298820861,18.8895632129982,300.221419470658,283.872495791843,61.8127626626993,313.750150047848,1941.60617884385,1019.26321952987,2100.02172513327,1213.02914998337,85.3059370034959,"p < 0.05"
"Aqp8",58.5444101665824,2.72980858403713,0.000301152038229475,20.9143590034952,9.08985530302247,6.74627257607077,27.5879142216281,14.1936247895921,10.5213213042892,33.9801606550016,214.35991783414,165.587374889953,129.838316441645,60.8277698756196,8.88603510453082,"p < 0.001"
"Aldh8a1",20.3785169383161,2.47918582823101,0.0199158179938148,2.41319526963407,20.199678451161,16.8656814401769,3.24563696725036,0,3.94549548910847,1.13267202183339,68.0180508512176,17.1593134600988,30.3602033470513,68.7618268159178,12.4404491463431,"p < 0.05"
"Peg10",110.205083119718,2.44927549450049,5.72760790592389e-05,27.3495463891861,23.2296302188352,15.5164269249628,37.3248251233791,23.6560413159869,81.5402401082417,62.2969612008363,351.426596064625,80.6487732624643,386.931102231569,145.457710572134,87.083144024402,"p < 0.001"
"Slc26a3",2257.08278033844,2.43180055857012,0.0100132331155996,1172.00850261895,692.848970874824,2082.57434423305,264.519412830904,192.402469370027,883.790989560297,289.964037589347,9616.30958322291,3126.42691243,5761.97901820634,2389.03270091201,613.136422212626,"p < 0.05"
"Fabp6",18.0772356454049,2.42159526178382,0.0208008361734092,11.261577924959,11.1098231481386,14.1671724097486,1.62281848362518,0,5.26066065214462,0,69.0486273792664,24.8810045171433,50.3850183206384,16.7496757628518,12.4404491463431,"p < 0.05"
"Scd3",10.0338037309836,2.26863565977939,0.00516958129228084,6.43518738569085,2.0199678451161,9.44478160649908,0,0,2.63033032607231,4.53068808733355,12.366918336585,15.4433821140889,20.6707767469286,29.0915421144267,17.7720702090616,"p < 0.05"
"Glt1d1",70.9589230578967,2.12129594702942,0.000394084032043136,53.8946943551608,32.3194855218577,26.310463046676,12.9825478690014,18.9248330527895,44.7156155432293,16.9900803275008,147.372443510972,174.167031620003,222.210850029482,71.4065124626838,30.2125193554048,"p < 0.001"
"Nmu",33.5433777303328,2.0899993770139,0.00230575565403482,17.6967653106498,9.08985530302247,10.7940361217132,19.4738218035022,7.88534710532896,14.4668167933977,20.388096393001,22.6726836170725,154.433821140889,52.3229036406629,57.3015223465981,15.9948631881555,"p < 0.05"
"Pck1",617.978901048633,2.03955707088777,0.00859369912098428,259.016292274057,193.916913131146,642.245149241937,95.7462905338856,193.979538791092,360.355254671907,137.05331464184,1210.92742045728,2162.07349597245,1333.91106195023,652.355792868963,174.166288048804,"p < 0.05"
"St6galnac1",1697.91068946652,2.02598509256488,0.0174065599618423,963.669311007204,739.308231312494,197.665786478874,1072.68301767624,962.012346850133,219.632582227038,1057.91566839238,1913.78061258653,6458.76558638119,3167.7965364668,3257.37115493354,364.327439285764,"p < 0.05"
"Crybb1",18.6070259022671,2.00560834001507,0.0223191172061108,13.674773194593,10.0998392255805,14.8417996673557,4.86845545087554,1.57706942106579,7.89099097821694,3.39801606550016,47.4065202902426,62.6314941293606,37.465782853808,14.986551998341,4.44301755226541,"p < 0.05"
"Btf3-ps1",54.5477629055677,-2.01378295963901,0.00471854176757579,19.3055621570725,44.4392925925543,15.5164269249628,108.728838402887,115.126067737803,111.789038858073,141.584002729173,16.48922444878,12.8694850950741,12.9192354668303,22.0390470563839,33.7669333972171,"p < 0.05"
"Rassf9",151.841171015039,-2.01498252349742,7.29041591115838e-06,178.576449952921,240.376173568816,84.3284072008846,180.132851682395,326.453370160619,119.68002983629,419.088648078354,36.0701784817063,57.483700091331,37.465782853808,78.4590075207267,63.9794527526219,"p < 0.001"
"Adm",294.714094076822,-2.01773668539504,2.34613106440513e-09,303.258205550681,565.590996632509,223.97624952555,407.32743938992,458.927201530145,698.352701572199,348.862982724683,152.525326151215,119.257228547687,100.770036641277,56.4199604643428,101.300800191651,"p < 0.001"
"Prss53",123.08891961855,-2.03536522937135,1.71422843134463e-05,94.91901393894,261.585835942536,76.2328801095997,128.202660206389,376.919591634724,117.049699510218,203.88096393001,25.7644132012188,50.6199747072914,51.6769418673214,52.8937129353214,37.3213474390294,"p < 0.001"
"Rtp4",804.326760210818,-2.05104808603937,4.46432834510781e-06,641.105543299451,2237.11438846609,821.021372507813,1011.01591529849,1706.38911359319,585.24849755109,1231.21448773289,188.595504632922,150.143992775864,262.906441749998,266.231688441117,550.934176480911,"p < 0.001"
"Krt84",559.934881688497,-3.90796178458939,2.03905110334309e-05,412.656391107426,732.238343854588,171.355323432198,761.10186882021,2318.29204896671,376.137236628341,1642.37443165841,27.8255662573163,164.729409216948,44.5713623605647,60.8277698756196,7.10882808362466,"p < 0.001"
"Gabre",22.1089077997146,-4.05225224029171,1.94703898135397e-05,8.04398423211356,119.17810286185,14.8417996673557,16.2281848362518,42.5808743687764,18.4123122825062,35.112832676835,0,3.43186269201976,1.29192354668303,4.40780941127678,1.77720702090616,"p < 0.001"
"Rhcg",59.4776590960924,-4.2873660659925,1.35379931939887e-07,33.7847337748769,116.148151094176,19.5641904706052,94.1234720502605,247.599899107329,44.7156155432293,132.522626554506,5.15288264024376,12.0115194220692,1.93788532002455,6.17093317578749,0,"p < 0.001"
