"","baseMean","log2FoldChange","padj","T1-2442","T2-2443","T3-2538","T31","T32","T33","T34","T38","T39","T40","T41","T22-2854","T23-3024","T24-4404","Significance"
"Cdkn2a",41.1387958267753,-3.02755157810903,0.000221321804887741,60.8394173700479,119.298061586402,24.2508163464704,58.3451094067497,94.5049056290919,40.1340902271517,115.889034836325,1.066491087176,0,1.03355009126435,30.0626343380691,14.6169736973587,9.07371300845105,6.82834395029735,"p < 0.001"
"Wfdc18",15.9890287366583,-3.03560360550867,0.0398343649504178,11.0028733541576,49.976214988898,5.38907029921564,15.5586958417999,45.3623547019641,12.6739232296268,59.7552835874799,0,0,0,18.0375806028414,6.09040570723278,0,0,"p < 0.05"
"Reg3g",8207.45021550144,-3.04040309138765,0.0433906577339901,6976.46893438028,40653.2326895175,9936.90672472372,9953.67566479149,23836.6573304737,5289.25062783094,5805.31633883214,1.066491087176,7480.51880835598,3121.32127561834,576.200491479657,1017.09775310787,180.340046042965,76.2498407783204,"p < 0.05"
"Lgals5",35.5201109562393,-3.05095824672593,4.02683575930617e-05,36.8919871286461,134.613353276548,37.1845850645879,54.4554354462997,114.665952163298,22.179365651847,43.4583880636218,2.13298217435199,0,5.16775045632175,3.00626343380691,21.925460546038,6.80528475633829,14.7947452256442,"p < 0.001"
"Gabre",16.2733207810216,-3.05477109191125,0.000151370535944554,6.47227844362212,95.1160220756447,11.8559546582744,12.9655798681666,34.0217660264731,14.786243767898,28.0668756244224,3.19947326152799,2.39108800011379,1.03355009126435,5.01043905634485,6.09040570723278,3.40264237816915,3.41417197514867,"p < 0.001"
"Il17c",60.6249161174009,-3.08386963472197,3.04177788928738e-05,64.075556591859,148.31650899931,40.9569342740389,248.939133468799,132.306867880729,31.6848080740671,93.254457719855,1.066491087176,0,18.6039016427583,25.0521952817242,19.4892982631449,10.2079271345074,14.7947452256442,"p < 0.001"
"Bnc1",44.4574115381036,-3.10042338209396,0.00351589048167016,28.4780251519373,105.594905863639,17.2450249574901,124.469566734399,161.28837227365,20.0670451135758,100.497522397125,0,0,11.3690510039079,28.0584587155311,21.925460546038,1.13421412605638,2.27611465009912,"p < 0.05"
"Lgals2",1676.74975070187,-3.10773151543389,0.0177513502563061,1086.04832283979,5845.60501773369,1493.31137991265,2446.60492112304,6984.54255869408,1139.59693039728,2038.92270665159,3.19947326152799,27.4975120013085,105.422109308964,1581.29456618243,588.333191318686,51.0396356725372,83.0781847286177,"p < 0.05"
"Fcrlb",79.6463393940736,-3.22567370052974,1.00810917910034e-06,62.1338730587723,110.431313765791,32.3344217952938,197.076813996132,331.397202406015,99.2790652987437,174.738935339146,0,22.715336001081,8.26840073011481,25.0521952817242,24.3616228289311,15.8789977647893,11.3805732504956,"p < 0.001"
"Nppb",53.3656343649532,-3.36887632035164,0.000129966144060985,74.4312021016543,177.334956412219,34.4900499149801,251.532249442432,65.5234012361704,21.1232053827114,57.0391343335036,0,0,28.9394025554018,12.0250537352276,12.1808114144656,5.67107063028191,6.82834395029735,"p < 0.001"
"Serpinb3a",56.2831374740763,-3.93757995028889,0.0166019038818388,25.8891137744885,90.2796141734932,21.017374166941,172.442212246616,115.926017571686,45.4148915728295,268.89877614366,0,0,0,36.0751612056829,9.74464913157245,0,2.27611465009912,"p < 0.05"
"Reg3b",17024.8894902461,-4.26473878920973,0.000162176777955741,12110.9274237057,100664.99407538,18569.1195300073,18443.537362467,49888.5096488934,10221.5190846941,16663.575673145,9.59841978458397,4797.71807222831,1956.51032276342,1642.42192266984,2975.77222855394,265.406105497193,138.842993656046,"p < 0.001"
"Serpinb3",75.1984033095211,-4.31498893058933,0.031493743663934,29.1252529962995,105.594905863639,18.3228390173332,399.339859939531,167.58869931559,58.0888148024564,224.535004995379,0,0,0,44.0918636958346,6.09040570723278,0,0,"p < 0.05"
"Mptx1",167.261348524783,-4.79216727698221,0.0156270022377793,1642.01704114693,510.241033676975,49.5794467527839,29.8208336967832,16.3808503090426,2.11232053827114,9.95921393124665,0,0,29.9729526466662,11.0229659239587,10.962730273019,0,29.5894904512885,"p < 0.05"
"Ugt2b7",78.4562230282977,-4.80381427499992,0.000391751111129731,67.9589236580322,423.991759421942,120.71517470243,80.3865951826329,231.852035143372,47.5272121111007,87.8221592119023,0,0,0,8.01670249015175,25.5797039703777,4.53685650422553,0,"p < 0.001"
"Reg4",2136.05234559529,-5.08057138505484,0.00305929301957484,761.787172814323,2680.17604577558,25402.4606694128,22.0414857758832,6.30032704193946,156.311719832064,17.2022786085169,206.899270912143,276.170664013142,127.126661225515,13.0271415464966,102.318815881511,71.455489941552,61.4550955526761,"p < 0.05"
"Csf3",34.2306415339438,-5.54567380923881,1.03563441579373e-11,75.7256577903788,68.5157786138118,31.7955147653723,140.028262576199,18.9009811258184,108.784507720964,25.350726370446,1.066491087176,0,0,2.00417562253794,3.65424342433967,3.40264237816915,0,"p < 0.001"
"Hoxd12",212.955655982011,-6.10980054044658,5.88821007094849e-07,612.277540766652,439.307051112088,106.164684894548,448.609063438564,88.2045785871524,110.896828259235,1133.5396219928,0,0,7.23485063885045,23.0480196591863,10.962730273019,1.13421412605638,0,"p < 0.001"
